<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20150301 to 20150331</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2015  60  0  11.1   9.8  225676.  479. 50
2015  60  1  12.6   9.1  207869.  484. 50
2015  60  2  10.9   8.8  218841.  484. 50
2015  60  3   9.7   9.2  243273.  499. 50
2015  60  4   9.0   9.6  253940.  523. 50
2015  60  5  10.2   8.5  207309.  553. 50
2015  60  6  10.9   7.3  186882.  546. 53
2015  60  7  10.6   8.1  212590.  538. 53
2015  60  8   7.9   7.8  177661.  540. 53
2015  60  9   5.9   7.2  197892.  566. 37
2015  60 10   5.9   6.8  195836.  550. 37
2015  60 11   6.8   6.1  169574.  546. 37
2015  60 12   9.0   5.3  153323.  533. 20
2015  60 13   9.3   5.6  150170.  527. 20
2015  60 14   9.5   5.9  149209.  522. 20
2015  60 15  10.1   6.0  132491.  516. 13
2015  60 16  11.4   5.6   93967.  514. 13
2015  60 17  11.4   5.5  133493.  511. 13
2015  60 18  11.4   4.7  134263.  516. 23
2015  60 19  10.7   5.0  143376.  519. 23
2015  60 20   8.4   8.0  185347.  506. 23
2015  60 21   7.1   8.6  186907.  502. 27
2015  60 22  10.8   7.0  116827.  475. 27
2015  60 23   8.7   9.4  137224.  457. 27
2015  61  0   8.6   9.3  124667.  454. 40
2015  61  1   9.1  10.6  103821.  449. 40
2015  61  2  11.0  11.2  133072.  463. 40
2015  61  3  11.8   9.6  273176.  522. 43
2015  61  4  12.0  10.6  265232.  526. 43
2015  61  5  10.7   9.3  263698.  523. 43
2015  61  6  10.4   7.4  301609.  574. 53
2015  61  7   9.8   7.4  360899.  597. 53
2015  61  8   9.6   7.2  301119.  586. 53
2015  61  9   9.7   6.8  298986.  590. 47
2015  61 10   8.0   5.7  332317.  619. 47
2015  61 11   6.4   4.9  273170.  627. 47
2015  61 12   6.3   4.4  299190.  634. 37
2015  61 13   6.0   4.6  259310.  643. 37
2015  61 14   5.1   4.0  241445.  637. 37
2015  61 15   4.4   3.5  184401.  627. 37
2015  61 16   3.9   2.9  157355.  621. 37
2015  61 17   3.7   2.7  137324.  604. 37
2015  61 18   3.6   3.6  123867.  582. 30
2015  61 19   3.6   3.8  115995.  575. 30
2015  61 20   4.4   4.6  117333.  570. 30
2015  61 21   3.7   3.6  155265.  560. 20
2015  61 22   4.0   3.1  154286.  583. 20
2015  61 23   2.4   3.7  142315.  565. 20
2015  62  0   3.1   3.6  125917.  552. 30
2015  62  1   3.7   3.7  150671.  555. 30
2015  62  2   4.2   3.7  148859.  563. 30
2015  62  3   3.9   3.7  178613.  552. 30
2015  62  4   3.9   3.6  166270.  547. 30
2015  62  5   3.2   3.2  184356.  537. 30
2015  62  6   4.7   3.0  168938.  538. 20
2015  62  7   4.0   2.9  142643.  527. 20
2015  62  8   3.7   3.1  121370.  525. 20
2015  62  9   3.6   3.5  106705.  514. 20
2015  62 10   3.6   3.6   98731.  504. 20
2015  62 11   3.6   3.7   89895.  495. 20
2015  62 12   3.5   3.6   87448.  487. 17
2015  62 13   4.0   3.3   77253.  479. 17
2015  62 14   3.7   3.6   72958.  474. 17
2015  62 15   3.5   3.8   62494.  465. 13
2015  62 16   4.1   3.7   41732.  450. 13
2015  62 17   3.3   5.0   41938.  456. 13
2015  62 18   3.6   4.9   45205.  454. 23
2015  62 19   3.9   5.3   53789.  457. 23
2015  62 20   3.9   6.0   57498.  458. 23
2015  62 21   4.3   5.8   57302.  456. 33
2015  62 22   4.4   6.1   66261.  452. 33
2015  62 23   4.4   5.9   63107.  447. 33
2015  63  0   3.8   5.5   64674.  443. 20
2015  63  1   3.8   5.8   57677.  451. 20
2015  63  2   3.6   6.0   62082.  447. 20
2015  63  3   3.4   6.4   68635.  447. 13
2015  63  4   3.6   6.7   70972.  447. 13
2015  63  5   4.0   6.6   69939.  445. 13
2015  63  6   4.4   6.6   63334.  440. 17
2015  63  7   4.7   6.8   66694.  441. 17
2015  63  8   4.9   8.3   68528.  444. 17
2015  63  9   5.9  10.6   69868.  455. 33
2015  63 10   4.9  18.4   48106.  467. 33
2015  63 11   8.6  14.7   47343.  461. 33
2015  63 12   7.5   9.8  111498.  468. 30
2015  63 13   5.6   5.8  211884.  502. 30
2015  63 14   5.2   4.3  183255.  500. 30
2015  63 15   4.3   4.1  149828.  463.  3
2015  63 16   4.5   4.6   98079.  461.  3
2015  63 17   4.6   5.1   87848.  456.  3
2015  63 18   5.4   6.2   94743.  459. 17
2015  63 19   5.4   6.6   85731.  469. 17
2015  63 20   5.2   5.7   91731.  485. 17
2015  63 21   4.7   4.9  126859.  499. 27
2015  63 22   3.6   4.8  159219.  508. 27
2015  63 23   3.6   4.7  146419.  503. 27
2015  64  0   3.6   5.0  138916.  502. 13
2015  64  1   4.7   4.8  134304.  496. 13
2015  64  2   5.3   4.9  123749.  485. 13
2015  64  3   6.2   5.0  107334.  486.  3
2015  64  4   6.3   5.0  118180.  478.  3
2015  64  5   6.1   4.6  147018.  462.  3
2015  64  6   6.2   4.6  139741.  457.  3
2015  64  7   6.6   5.3  143474.  456.  3
2015  64  8   6.9   4.7  163440.  439.  3
2015  64  9   7.1   3.9  141831.  429. 13
2015  64 10   7.7   4.3  129822.  442. 13
2015  64 11   8.0   3.9  122831.  445. 13
2015  64 12   7.2   4.0   95701.  436. 20
2015  64 13   5.5   6.0  106929.  433. 20
2015  64 14   4.8   6.2  114706.  447. 20
2015  64 15   4.8   6.5  134948.  447. 23
2015  64 16   4.1   6.6  123436.  445. 23
