<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20240501 to 20240531</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2024 122  0  11.5  13.6   45466.  411. 37
2024 122  1  11.4  11.7   53920.  410. 37
2024 122  2  11.1  12.6   36118.  403. 37
2024 122  3  10.7  16.9   30150.  398. 20
2024 122  4  11.7  14.7   25912.  390. 20
2024 122  5  13.1   7.7   25470.  392. 20
2024 122  6  12.8   7.8   25954.  387. 17
2024 122  7  13.3   4.2   26415.  379. 17
2024 122  8  12.9   6.3   14290.  378. 17
2024 122  9  13.1   6.0   14996.  378.  3
2024 122 10  13.3   4.6   17814.  372.  3
2024 122 11  13.2   5.4   13785.  374.  3
2024 122 12  13.3   4.9   10111.  370. 10
2024 122 13  13.3   3.9    9563.  367. 10
2024 122 14  13.2   4.8   11742.  360. 10
2024 122 15  12.9   6.9    9056.  359. 10
2024 122 16  12.6   7.2    8951.  359. 10
2024 122 17  12.1  10.6    9531.  356. 10
2024 122 18  12.7   5.2   13790.  357. 20
2024 122 19  12.5   6.9   20158.  354. 20
2024 122 20  10.4  15.3   62774.  357. 20
2024 122 21  11.6  12.0   56848.  350. 10
2024 122 22  11.3  11.0   52041.  351. 10
2024 122 23  11.0  10.1   39041.  349. 10
2024 123  0  10.5  10.6   48249.  338. 23
2024 123  1   9.6  11.4   78580.  342. 23
2024 123  2   8.4  14.3   71478.  346. 23
2024 123  3   7.6  19.5   42196.  339. 17
2024 123  4   5.5  16.7   73918.  334. 17
2024 123  5   7.0  13.6   66497.  338. 17
2024 123  6   8.5  10.2   96324.  360. 23
2024 123  7   7.8  10.6   92313.  353. 23
2024 123  8   6.2  16.8   76692.  348. 23
2024 123  9   9.7  17.9   77139.  361. 33
2024 123 10  12.0  15.5   58406.  361. 33
2024 123 11  12.1  14.4   53127.  358. 33
2024 123 12  10.3  14.2   64019.  359. 50
2024 123 13   9.2  14.2   72414.  348. 50
2024 123 14  14.7  19.7   65828.  377. 50
2024 123 15  20.9  22.6   74830.  394. 67
2024 123 16  19.1  27.3   95563.  409. 67
2024 123 17  19.3  17.0  138518.  432. 67
2024 123 18  20.8  13.9   69063.  443. 67
2024 123 19  20.6  11.7   76274.  430. 67
2024 123 20  17.8  18.0  138210.  433. 67
2024 123 21  18.6  15.2   71302.  436. 40
2024 123 22  12.6 999.9 9999999. 9999. 40
2024 123 23  12.5 999.9 9999999. 9999. 40
2024 124  0  12.2 999.9 9999999. 9999. 40
2024 124  1  10.9 999.9 9999999. 9999. 40
2024 124  2   8.4 999.9 9999999. 9999. 40
2024 124  3   4.1 999.9 9999999. 9999. 30
2024 124  4   4.7 999.9 9999999. 9999. 30
2024 124  5   3.4 999.9 9999999. 9999. 30
2024 124  6   3.3 999.9 9999999. 9999. 10
2024 124  7   3.1 999.9 9999999. 9999. 10
2024 124  8   3.2 999.9 9999999. 9999. 10
2024 124  9   3.3 999.9 9999999. 9999. 13
2024 124 10   3.4 999.9 9999999. 9999. 13
2024 124 11   3.0 999.9 9999999. 9999. 13
2024 124 12   2.6 999.9 9999999. 9999.  7
2024 124 13   2.8 999.9 9999999. 9999.  7
2024 124 14   4.1 999.9 9999999. 9999.  7
2024 124 15   4.2 999.9 9999999. 9999.  7
2024 124 16   4.0 999.9 9999999. 9999.  7
2024 124 17   4.7   3.1   42674.  404.  7
2024 124 18   4.7   3.0   43607.  397. 17
2024 124 19   4.0   3.1   43126.  397. 17
2024 124 20   4.0   3.9   26335.  411. 17
2024 124 21   4.1   4.2   24495.  410. 13
2024 124 22   4.0   4.4   26914.  405. 13
2024 124 23   4.1   3.3   19416.  395. 13
2024 125  0   3.9   3.4   20254.  394.  7
2024 125  1   3.8   4.0   19628.  395.  7
2024 125  2   3.8   3.8   19594.  392.  7
