configuration,events,events_detected,event_recall,event_precision,pw_precision,pw_recall,pw_f1,pw_fpr,quiet_far,flagged,n_samples
"SPC (3-sigma, Kp<3 quiet rows)",5,5,1.0,0.28194607986734577,0.28194607986734577,0.616326530612245,0.38319029866789484,0.11855171600424579,0.043296534730608904,561,3696
"SPC (3-sigma, calendar quiet half)",5,5,1.0,0.3944480446306004,0.3944480446306004,0.39183673469387753,0.37373320855322606,0.04799622597004364,0.023653586075273035,262,3696
Isolation Forest (fit on all data),5,5,1.0,0.2535562681113639,0.2535562681113639,0.49387755102040815,0.3330427210165678,0.10131640738080176,0.0608466485166133,471,3696
Isolation Forest (fit on Kp<3 rows),5,5,1.0,0.13647477615958684,0.13647477615958684,0.6612244897959183,0.22537621400553848,0.292623701336993,0.15567110335160572,1172,3696
